               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.059203,            0.011962,            0.023482,             0.71142,               0.975,             0.84592,             0.52936,            0.049894,           0.0065858,            0.015015,           0.0087922,           0.0087922,           0.0087922
                  63,            0.060124,            0.011873,            0.019854,             0.40473,               0.875,             0.58525,             0.32554,            0.053836,           0.0061258,            0.013729,           0.0087724,           0.0087724,           0.0087724
                  64,            0.069886,            0.011194,            0.019904,             0.40473,               0.875,             0.58525,             0.32554,            0.053836,           0.0061258,            0.013729,           0.0087526,           0.0087526,           0.0087526
                  65,            0.066905,            0.010983,            0.018949,              0.4005,             0.86687,             0.59335,             0.38791,            0.052017,           0.0059582,            0.012614,           0.0087328,           0.0087328,           0.0087328
                  66,            0.064739,            0.011051,            0.019132,             0.81619,                   1,              0.9214,             0.49644,            0.042719,           0.0062022,             0.01158,            0.008713,            0.008713,            0.008713
                  67,            0.058838,            0.011782,            0.018642,             0.74137,                   1,              0.9121,             0.55966,            0.042659,           0.0063615,            0.010748,           0.0086932,           0.0086932,           0.0086932
                  68,            0.059258,            0.010953,            0.016697,             0.74137,                   1,              0.9121,             0.55966,            0.042659,           0.0063615,            0.010748,           0.0086734,           0.0086734,           0.0086734
                  69,            0.058079,            0.011911,            0.016763,             0.73205,               0.975,             0.86411,             0.51713,            0.038853,           0.0064837,           0.0099986,           0.0086536,           0.0086536,           0.0086536
                  70,            0.053822,            0.010652,            0.019578,             0.74816,             0.99498,             0.88838,             0.39821,            0.041681,           0.0063691,           0.0093157,           0.0086338,           0.0086338,           0.0086338
                  71,            0.058589,            0.012942,            0.014698,             0.67352,                   1,             0.84368,             0.26939,            0.055276,           0.0064143,           0.0086362,            0.008614,            0.008614,            0.008614
                  72,            0.070295,            0.010923,            0.015172,             0.67352,                   1,             0.84368,             0.26939,            0.055276,           0.0064143,           0.0086362,           0.0085942,           0.0085942,           0.0085942
                  73,            0.068257,            0.011551,            0.013598,             0.66393,               0.975,             0.90957,             0.42842,            0.050265,           0.0061471,           0.0080029,           0.0085744,           0.0085744,           0.0085744
                  74,            0.061755,            0.011441,            0.012243,             0.84686,             0.87634,             0.86272,             0.29395,            0.050168,           0.0061835,           0.0073923,           0.0085546,           0.0085546,           0.0085546
                  75,            0.062346,            0.012935,            0.014062,             0.75425,             0.98997,             0.76116,             0.43268,            0.048466,           0.0056437,           0.0069229,           0.0085348,           0.0085348,           0.0085348
                  76,            0.065505,             0.01005,            0.015828,             0.75425,             0.98997,             0.76116,             0.43268,            0.048466,           0.0056437,           0.0069229,            0.008515,            0.008515,            0.008515
                  77,            0.063395,            0.010332,            0.014508,             0.75494,             0.98685,             0.75582,             0.50093,            0.048146,           0.0055158,           0.0064762,           0.0084952,           0.0084952,           0.0084952
                  78,            0.062291,            0.013436,            0.011704,             0.77926,             0.98283,             0.82848,              0.4308,            0.044552,           0.0057045,           0.0060173,           0.0084754,           0.0084754,           0.0084754
                  79,            0.058414,            0.012199,            0.012874,             0.62488,             0.93639,             0.84465,             0.34602,             0.05183,           0.0056675,           0.0059129,           0.0084556,           0.0084556,           0.0084556
                  80,            0.065966,            0.011113,            0.012391,             0.62488,             0.93639,             0.84465,             0.34602,             0.05183,           0.0056675,           0.0059129,           0.0084358,           0.0084358,           0.0084358
                  81,            0.064378,             0.01181,            0.010801,             0.51747,                   1,             0.89988,             0.48312,            0.049359,           0.0056408,           0.0057202,            0.008416,            0.008416,            0.008416
                  82,            0.064179,             0.01139,            0.010112,             0.68928,                   1,             0.94061,             0.53599,            0.043927,           0.0057751,           0.0054583,           0.0083962,           0.0083962,           0.0083962
                  83,            0.059681,            0.011093,            0.011939,             0.64864,             0.93105,             0.90286,             0.28155,            0.045237,            0.005755,           0.0054162,           0.0083764,           0.0083764,           0.0083764
                  84,            0.058062,            0.008586,            0.018647,             0.64864,             0.93105,             0.90286,             0.28155,            0.045237,            0.005755,           0.0054162,           0.0083566,           0.0083566,           0.0083566
                  85,            0.054055,            0.009591,           0.0093794,             0.90576,             0.98859,              0.9694,             0.46029,            0.038408,           0.0055762,           0.0053194,           0.0083368,           0.0083368,           0.0083368
                  86,            0.042457,           0.0083031,           0.0093775,             0.98024,                   1,               0.995,             0.40017,            0.037968,            0.005427,           0.0050301,            0.008317,            0.008317,            0.008317
                  87,             0.05771,            0.010819,            0.011153,             0.47018,               0.975,              0.8196,             0.44089,            0.046115,           0.0056458,           0.0050305,           0.0082972,           0.0082972,           0.0082972
                  88,            0.064129,            0.010116,            0.014166,             0.47018,               0.975,              0.8196,             0.44089,            0.046115,           0.0056458,           0.0050305,           0.0082774,           0.0082774,           0.0082774
                  89,            0.057388,            0.011519,           0.0091499,             0.71058,                 0.8,             0.89054,               0.559,            0.040905,           0.0055087,           0.0049472,           0.0082576,           0.0082576,           0.0082576
                  90,            0.056193,            0.010747,            0.011344,             0.96576,                   1,               0.995,             0.62003,            0.044962,           0.0056195,           0.0046767,           0.0082378,           0.0082378,           0.0082378
                  91,            0.058162,            0.011007,            0.011661,             0.70741,             0.97432,               0.995,             0.61124,            0.034993,           0.0053916,           0.0046315,            0.008218,            0.008218,            0.008218
                  92,            0.057035,            0.010467,            0.009536,             0.70741,             0.97432,               0.995,             0.61124,            0.034993,           0.0053916,           0.0046315,           0.0081982,           0.0081982,           0.0081982
                  93,            0.055536,            0.010915,             0.01129,             0.93162,                   1,               0.995,             0.65351,            0.032611,           0.0052826,           0.0045587,           0.0081784,           0.0081784,           0.0081784
                  94,            0.051137,           0.0099402,             0.01045,             0.81222,             0.97138,             0.97889,             0.54145,            0.039426,           0.0054618,           0.0044641,           0.0081586,           0.0081586,           0.0081586
                  95,            0.056053,            0.011251,           0.0082613,              0.8735,                   1,             0.98798,             0.48603,            0.044412,           0.0057223,           0.0045608,           0.0081388,           0.0081388,           0.0081388
                  96,            0.061984,           0.0099873,            0.011083,              0.8735,                   1,             0.98798,             0.48603,            0.044412,           0.0057223,           0.0045608,            0.008119,            0.008119,            0.008119
                  97,            0.054378,             0.01126,            0.010521,              0.8456,             0.98133,             0.99262,             0.61206,            0.038448,           0.0055636,           0.0045505,           0.0080992,           0.0080992,           0.0080992
                  98,            0.053318,            0.010756,           0.0076088,             0.98728,                   1,               0.995,             0.64101,            0.031389,           0.0052522,           0.0044559,           0.0080794,           0.0080794,           0.0080794
                  99,            0.052183,           0.0091159,            0.013047,             0.83268,              0.9783,             0.98602,             0.61844,            0.042759,           0.0055553,           0.0044474,           0.0080596,           0.0080596,           0.0080596
                 100,            0.063718,            0.010557,            0.010599,             0.83268,              0.9783,             0.98602,             0.61844,            0.042759,           0.0055553,           0.0044474,           0.0080398,           0.0080398,           0.0080398
                 101,            0.054869,           0.0097116,           0.0079242,             0.77134,              0.9902,              0.8871,             0.58383,            0.039844,             0.00551,            0.004452,             0.00802,             0.00802,             0.00802
                 102,            0.055198,           0.0097624,            0.010081,             0.71873,                   1,              0.9699,             0.67238,            0.036597,           0.0055023,           0.0043289,           0.0080002,           0.0080002,           0.0080002
